shop_id,review_id,reviewer,stars,date,text
H001,H001-1,James C.,5,2026-09-04,The tres leches glazed sold me. Genuinely great texture.
H001,H001-2,Marcus B.,4,2026-02-14,"Still warm when I got there, worth the drive."
H002,H002-1,Carmen B.,4,2026-02-08,"Glaze was perfect, not too sweet. Will be back."
H002,H002-2,Nate B.,4,2026-04-02,"Still warm when I got there, worth the drive."
H003,H003-1,Carmen E.,4,2026-09-04,Small shop but the quality is way above average.
H003,H003-2,Alex G.,4,2026-06-04,"Best kolache-style sausage roll in this part of town, hands down."
H003,H003-3,James G.,4,2026-08-22,"Glaze was perfect, not too sweet. Will be back."
H004,H004-1,Jordan R.,5,2026-06-10,"Ordered a dozen for the office, gone in ten minutes."
H004,H004-2,Lena C.,4,2026-05-17,"Best pumpkin spice cruller in this part of town, hands down."
H004,H004-3,Jordan K.,5,2026-02-04,"Ordered a dozen for the office, gone in ten minutes."
H005,H005-1,Devon S.,4,2026-07-02,"Ordered a dozen for the office, gone in ten minutes."
H005,H005-2,Tyler L.,5,2026-06-20,"Glaze was perfect, not too sweet. Will be back."
H005,H005-3,Priya C.,4,2026-05-16,Consistent every time I've gone. That counts for a lot.
H006,H006-1,Sofia R.,4,2026-05-23,"Still warm when I got there, worth the drive."
H006,H006-2,Maria R.,4,2026-06-06,"Ordered a dozen for the office, gone in ten minutes."
H006,H006-3,James G.,4,2026-05-05,Consistent every time I've gone. That counts for a lot.
H007,H007-1,Wei C.,4,2026-03-15,The maple bacon bar sold me. Genuinely great texture.
H007,H007-2,Devon P.,4,2026-09-09,Small shop but the quality is way above average.
H007,H007-3,Nate H.,5,2026-03-03,"Ordered a dozen for the office, gone in ten minutes."
H008,H008-1,Maria S.,4,2026-03-09,"Friendly staff, fast line even on a Saturday."
H008,H008-2,Carmen W.,4,2026-06-20,"Best cafe con leche cruller in this part of town, hands down."
H009,H009-1,James R.,5,2026-09-13,"Best pecan praline in this part of town, hands down."
H009,H009-2,Alex S.,5,2026-07-02,The pecan praline sold me. Genuinely great texture.
H009,H009-3,Jordan F.,4,2026-02-11,"Friendly staff, fast line even on a Saturday."
H010,H010-1,Devon W.,4,2026-02-12,"Still warm when I got there, worth the drive."
H010,H010-2,Marcus N.,4,2026-03-21,"Glaze was perfect, not too sweet. Will be back."
H010,H010-3,Aisha S.,4,2026-02-04,"Ordered a dozen for the office, gone in ten minutes."
H011,H011-1,Wei S.,4,2026-05-03,Consistent every time I've gone. That counts for a lot.
H011,H011-2,Omar S.,4,2026-03-17,"Ordered a dozen for the office, gone in ten minutes."
H012,H012-1,Devon W.,4,2026-01-25,"Ordered a dozen for the office, gone in ten minutes."
H012,H012-2,Omar T.,4,2026-06-06,"Glaze was perfect, not too sweet. Will be back."
H013,H013-1,Lena G.,4,2026-04-27,"Ordered a dozen for the office, gone in ten minutes."
H013,H013-2,Marcus T.,4,2026-08-12,"Friendly staff, fast line even on a Saturday."
